code,prov,area_ha,sp,elev_mean,elev_min,elev_max,elevF,perim,lat,long,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,sp_abrev,especie
AL002019,AL,97.3014978,PINUS SYLVESTRIS,1344.9,1238,1495,2medium,5375.75,37.10975,-2.77869,0,0,0,0,1,2,1,0,0,1,2,1,1,0,0,1,0,2,3,1,0,0,1,2,2,1,2,psylv,P. sylvestris
AL002020,AL,132.4889447,PINUS NIGRA SSP AUSTR.,1380.1,1191,1507,2medium,12259.76,37.10723,-2.8046,0,1,0,0,0,3,0,0,0,1,2,3,1,0,0,0,0,0,1,3,0,0,1,1,0,2,2,pnig_aus,P. nigra
AL002021,AL,137.0432216,PINUS SYLVESTRIS,1627.6,1417,1856,2medium,5606.19,37.10099,-2.78505,0,0,0,0,1,2,1,0,0,NA,1,1,NA,0,0,1,0,0,2,2,0,0,0,0,0,1,2,psylv,P. sylvestris
AL002022,AL,317.50056839999996,PINUS NIGRA SSP AUSTR.,1581.27,1238,1984,2medium,15306.55,37.10052,-2.83698,0,1,0,0,2,3,0,0,0,NA,3,1,1,0,0,0,0,0,2,2,1,0,1,2,2,2,4,pnig_aus,P. nigra
AL002023,AL,141.9609897,PINUS NIGRA SSP AUSTR.,1643.66,1365,1879,2medium,7942.42,37.10026,-2.79865,0,1,0,0,0,3,0,0,0,NA,0,1,2,0,0,1,0,1,2,3,0,0,0,1,1,1,1,pnig_aus,P. nigra
AL002024,AL,118.79588670000001,PINUS SYLVESTRIS,1930.38,1477,2250,3high,7144.22,37.08807,-2.80719,0,0,0,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,0,2,4,1,0,0,1,2,2,2,psylv,P. sylvestris
AL002025,AL,24.796091200000003,PINUS NIGRA SSP AUSTR.,1718.08,1659,1784,3high,4137.57,37.115,-2.86206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,0,2,3,0,0,0,1,2,2,3,pnig_aus,P. nigra
AL002026,AL,110.1102011,PINUS SYLVESTRIS,1800.87,1691,1903,3high,8082.39,37.10913,-2.87715,0,0,0,0,0,1,0,0,0,NA,0,4,2,0,0,0,0,0,2,3,1,0,0,1,2,3,4,psylv,P. sylvestris
AL005001,AL,164.386987,PINUS HALEPENSIS,1250.11,858,1465,2medium,9729.36,37.06642,-2.6791,3,1,0,0,0,1,0,0,0,1,1,1,NA,NA,0,0,0,0,0,0,0,1,0,1,0,1,0,phale,P. halepensis
AL005002,AL,47.091308000000005,PINUS HALEPENSIS,1006.65,733,1205,1low,7052.82,37.06349,-2.66968,3,1,0,0,0,1,0,0,0,1,NA,1,0,NA,0,0,0,0,0,0,0,1,0,1,0,1,0,phale,P. halepensis
